"title","seasonNumber","av_rating","share","genres","status"
"12 Monkeys",1,8.3407,0.46,"Adventure,Drama,Mystery","riser"
"12 Monkeys",2,8.8196,0.25,"Adventure,Drama,Mystery","riser"
"12 Monkeys",3,9.0369,0.19,"Adventure,Drama,Mystery","riser"
"12 Monkeys",4,9.1363,0.38,"Adventure,Drama,Mystery","riser"
"Are You Afraid of the Dark?",1,9.1736,8.27,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",2,9.235,6.98,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",3,9.4349,2.6,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",4,9.3097,2.15,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",5,8.9533,2.31,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",6,6.0237,0.93,"Drama,Family,Fantasy","faller"
"Are You Afraid of the Dark?",7,6.8306,0.68,"Drama,Family,Fantasy","faller"
"Baby Daddy",1,8.0329,0.12,"Comedy,Drama,Family","riser"
"Baby Daddy",2,8.282,0.09,"Comedy,Drama,Family","riser"
"Baby Daddy",3,8.8466,0.06,"Comedy,Drama,Family","riser"
"Baby Daddy",4,8.9823,0.02,"Comedy,Drama,Family","riser"
"Baby Daddy",5,9.1413,0.01,"Comedy,Drama,Family","riser"
"Baby Daddy",6,8.9,0,"Comedy,Drama,Family","riser"
"Beverly Hills, 90210",1,6.7713,4.08,"Drama,Romance","riser"
"Beverly Hills, 90210",2,6.6737,2.87,"Drama,Romance","riser"
"Beverly Hills, 90210",3,6.5842,0.54,"Drama,Romance","riser"
"Beverly Hills, 90210",6,7.8,0.08,"Drama,Romance","riser"
"BoJack Horseman",1,7.7871,0.88,"Animation,Comedy,Drama","riser"
"BoJack Horseman",2,8.044,0.73,"Animation,Comedy,Drama","riser"
"BoJack Horseman",3,8.3554,0.62,"Animation,Comedy,Drama","riser"
"BoJack Horseman",4,8.6384,0.78,"Animation,Comedy,Drama","riser"
"BoJack Horseman",5,9.4738,0.45,"Animation,Comedy,Drama","riser"
"Breaking Bad",1,8.711,11.55,"Crime,Drama,Thriller","riser"
"Breaking Bad",2,8.7655,15.42,"Crime,Drama,Thriller","riser"
"Breaking Bad",3,8.7466,12.34,"Crime,Drama,Thriller","riser"
"Breaking Bad",4,9.1069,10.79,"Crime,Drama,Thriller","riser"
"Breaking Bad",5,9.554,18.95,"Crime,Drama,Thriller","riser"
"Chicago P.D.",1,7.6807,0.22,"Action,Crime,Drama","riser"
"Chicago P.D.",2,7.7688,0.26,"Action,Crime,Drama","riser"
"Chicago P.D.",3,8.5349,0.17,"Action,Crime,Drama","riser"
"Chicago P.D.",4,8.7036,0.2,"Action,Crime,Drama","riser"
"Chicago P.D.",5,8.7741,0.31,"Action,Crime,Drama","riser"
"Dexter",1,8.9229,5.37,"Crime,Drama,Mystery","faller"
"Dexter",2,8.9288,4.51,"Crime,Drama,Mystery","faller"
"Dexter",3,8.6281,4.35,"Crime,Drama,Mystery","faller"
"Dexter",4,9.1477,4.74,"Crime,Drama,Mystery","faller"
"Dexter",5,8.7322,2.92,"Crime,Drama,Mystery","faller"
"Dexter",6,8.4439,2.32,"Crime,Drama,Mystery","faller"
"Dexter",7,8.9068,3.25,"Crime,Drama,Mystery","faller"
"Dexter",8,6.9488,2.5,"Crime,Drama,Mystery","faller"
"Empire",1,8.3255,0.3,"Drama,Music","faller"
"Empire",2,8.1744,0.18,"Drama,Music","faller"
"Empire",3,7.5549,0.11,"Drama,Music","faller"
"Empire",4,8.0126,0.04,"Drama,Music","faller"
"Friday Night Lights",1,7.0093,1.23,"Drama,Sport","riser"
"Friday Night Lights",2,7.6077,0.51,"Drama,Sport","riser"
"Friday Night Lights",3,8.4095,0.43,"Drama,Sport","riser"
"Friday Night Lights",4,8.6724,0.39,"Drama,Sport","riser"
"Friday Night Lights",5,8.7262,0.3,"Drama,Sport","riser"
"Good Witch",1,8.0314,0.04,"Comedy,Drama,Fantasy","faller"
"Good Witch",2,8.4,0.01,"Comedy,Drama,Fantasy","faller"
"Good Witch",3,8.4,0.01,"Comedy,Drama,Fantasy","faller"
"Good Witch",4,7.5,0.01,"Comedy,Drama,Fantasy","faller"
"Hart of Dixie",1,7.9998,0.44,"Comedy,Drama,Romance","riser"
"Hart of Dixie",2,8.0901,0.21,"Comedy,Drama,Romance","riser"
"Hart of Dixie",3,8.0124,0.14,"Comedy,Drama,Romance","riser"
"Hart of Dixie",4,8.723,0.07,"Comedy,Drama,Romance","riser"
"Heroes",1,8.4818,4.46,"Drama,Fantasy,Sci-Fi","faller"
"Heroes",2,7.8981,1.54,"Drama,Fantasy,Sci-Fi","faller"
"Heroes",3,7.6512,2.72,"Drama,Fantasy,Sci-Fi","faller"
"Heroes",4,7.4616,1.51,"Drama,Fantasy,Sci-Fi","faller"
"Homicide: Life on the Street",1,8.3121,2.19,"Crime,Drama,Mystery","riser"
"Homicide: Life on the Street",2,8.6524,0.24,"Crime,Drama,Mystery","riser"
"Homicide: Life on the Street",3,8.8058,0.14,"Crime,Drama,Mystery","riser"
"Homicide: Life on the Street",4,9.1,0.07,"Crime,Drama,Mystery","riser"
"Homicide: Life on the Street",6,9.6,0.13,"Crime,Drama,Mystery","riser"
"Law & Order",1,7.7681,3.94,"Crime,Drama,Mystery","faller"
"Law & Order",2,7.6378,12.77,"Crime,Drama,Mystery","faller"
"Law & Order",3,7.8001,4.88,"Crime,Drama,Mystery","faller"
"Law & Order",4,7.7862,1.82,"Crime,Drama,Mystery","faller"
"Law & Order",5,7.8145,2.22,"Crime,Drama,Mystery","faller"
"Law & Order",6,8.0147,2.45,"Crime,Drama,Mystery","faller"
"Law & Order",7,7.9033,1.3,"Crime,Drama,Mystery","faller"
"Law & Order",8,7.8276,2.3,"Crime,Drama,Mystery","faller"
"Law & Order",9,7.8844,1.24,"Crime,Drama,Mystery","faller"
"Law & Order",10,7.8219,1.31,"Crime,Drama,Mystery","faller"
"Nashville",1,7.5194,0.22,"Drama,Music,Romance","riser"
"Nashville",2,7.5211,0.15,"Drama,Music,Romance","riser"
"Nashville",3,7.6215,0.12,"Drama,Music,Romance","riser"
"Nashville",4,8.3066,0.07,"Drama,Music,Romance","riser"
"Nashville",5,8.58,0.06,"Drama,Music,Romance","riser"
"Pretty Little Liars",1,8.285,1.44,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",2,8.5024,1.05,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",3,8.4803,1.14,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",4,8.2632,0.7,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",5,8.1185,0.59,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",6,7.0538,0.53,"Drama,Mystery,Romance","faller"
"Pretty Little Liars",7,7.5756,0.3,"Drama,Mystery,Romance","faller"
"Roseanne",3,7.8219,4.3,"Comedy,Drama","faller"
"Roseanne",4,7.6784,3.92,"Comedy,Drama","faller"
"Roseanne",5,7.9163,5.91,"Comedy,Drama","faller"
"Roseanne",6,7.6121,1.96,"Comedy,Drama","faller"
"Roseanne",7,7.2524,2.05,"Comedy,Drama","faller"
"Roseanne",8,6.8837,2.18,"Comedy,Drama","faller"
"Roseanne",9,5.8889,1.49,"Comedy,Drama","faller"
"Roseanne",10,7.6066,0.32,"Comedy,Drama","faller"
"Sherlock",1,8.7982,6.44,"Crime,Drama,Mystery","faller"
"Sherlock",2,9.3184,6.33,"Crime,Drama,Mystery","faller"
"Sherlock",3,9.0893,3.47,"Crime,Drama,Mystery","faller"
"Sherlock",4,8.3557,2.82,"Crime,Drama,Mystery","faller"
"The Big C",1,8.071,0.19,"Comedy,Drama","riser"
"The Big C",2,8.1482,0.09,"Comedy,Drama","riser"
"The Big C",3,7.8251,0.03,"Comedy,Drama","riser"
"The Big C",4,8.9461,0.03,"Comedy,Drama","riser"
"The Flash",1,8.953,5.03,"Action,Adventure,Drama","faller"
"The Flash",2,8.8014,2.84,"Action,Adventure,Drama","faller"
"The Flash",3,8.2708,2.66,"Action,Adventure,Drama","faller"
"The Flash",4,7.7634,3.8,"Action,Adventure,Drama","faller"
"The Flash",5,8.5,0.14,"Action,Adventure,Drama","faller"
"The Killing",1,8.2201,0.83,"Crime,Drama,Mystery","riser"
"The Killing",2,8.3926,0.77,"Crime,Drama,Mystery","riser"
"The Killing",3,8.6211,0.46,"Crime,Drama,Mystery","riser"
"The Killing",4,8.8251,0.22,"Crime,Drama,Mystery","riser"
"The Last Ship",1,8.4383,0.43,"Action,Drama,Sci-Fi","faller"
"The Last Ship",2,8.8961,0.38,"Action,Drama,Sci-Fi","faller"
"The Last Ship",3,8.91,0.24,"Action,Drama,Sci-Fi","faller"
"The Last Ship",4,8.3815,0.16,"Action,Drama,Sci-Fi","faller"
"The Last Ship",5,7.9254,0.12,"Action,Drama,Sci-Fi","faller"
"The Night Shift",1,5.7516,0.1,"Drama,Romance","faller"
"The Night Shift",2,5.6409,0.13,"Drama,Romance","faller"
"The Night Shift",3,5.4557,0.08,"Drama,Romance","faller"
"The Night Shift",4,4.4073,0.08,"Drama,Romance","faller"
"The O.C.",1,8.3388,3.34,"Comedy,Drama,Romance","faller"
"The O.C.",2,8.1232,1.24,"Comedy,Drama,Romance","faller"
"The O.C.",3,7.7194,0.69,"Comedy,Drama,Romance","faller"
"The O.C.",4,7.9342,0.56,"Comedy,Drama,Romance","faller"
"The Walking Dead",1,8.7018,5.81,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",2,8.5113,7.62,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",3,8.5037,6.61,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",4,8.4808,6.5,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",5,8.5695,5.9,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",6,8.307,5.26,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",7,7.7381,5.93,"Drama,Horror,Sci-Fi","faller"
"The Walking Dead",8,7.019,7.13,"Drama,Horror,Sci-Fi","faller"
"True Blood",1,8.2664,2.49,"Drama,Fantasy,Mystery","faller"
"True Blood",2,8.4773,1.75,"Drama,Fantasy,Mystery","faller"
"True Blood",3,8.293,1.17,"Drama,Fantasy,Mystery","faller"
"True Blood",4,8.2633,0.84,"Drama,Fantasy,Mystery","faller"
"True Blood",5,8.0424,0.98,"Drama,Fantasy,Mystery","faller"
"True Blood",6,7.9957,0.5,"Drama,Fantasy,Mystery","faller"
"True Blood",7,6.9127,0.43,"Drama,Fantasy,Mystery","faller"
"Ugly Betty",1,8.1145,0.48,"Comedy,Drama,Romance","riser"
"Ugly Betty",2,7.8154,0.29,"Comedy,Drama,Romance","riser"
"Ugly Betty",3,7.8659,0.06,"Comedy,Drama,Romance","riser"
"Ugly Betty",4,8.779,0.07,"Comedy,Drama,Romance","riser"
"Unforgettable",1,7.8657,0.2,"Crime,Drama,Mystery","riser"
"Unforgettable",2,8.1395,0.07,"Crime,Drama,Mystery","riser"
"Unforgettable",3,7.9384,0.04,"Crime,Drama,Mystery","riser"
"Unforgettable",4,8.7564,0.03,"Crime,Drama,Mystery","riser"
"When Calls the Heart",1,9.3765,0.28,"Drama","faller"
"When Calls the Heart",2,9.3873,0.11,"Drama","faller"
"When Calls the Heart",3,9.3239,0.11,"Drama","faller"
"When Calls the Heart",4,9.064,0.13,"Drama","faller"
"When Calls the Heart",5,8.6355,0.1,"Drama","faller"
"Without a Trace",1,7.8624,0.59,"Crime,Drama,Mystery","faller"
"Without a Trace",2,8.4064,0.17,"Crime,Drama,Mystery","faller"
"Without a Trace",3,7.1,0.02,"Crime,Drama,Mystery","faller"
"Without a Trace",4,7.7624,0.07,"Crime,Drama,Mystery","faller"
